Step,Wolves,Wolf Packs,Hunters,Conflict Score,Public Opinion,Current Policy
0,57,10,5,18,Low Concern,Increase Hunter Restrictions
1,57,10,5,26,Low Concern,Increase Hunter Restrictions
2,58,10,5,36,Low Concern,Increase Hunter Restrictions
3,59,10,5,52,Low Concern,Increase Hunter Restrictions
4,58,10,5,66,Medium Concern,Maintain Normal Operations
5,60,10,5,76,Medium Concern,Maintain Normal Operations
6,60,10,5,90,Medium Concern,Maintain Normal Operations
7,58,10,5,102,Medium Concern,Maintain Normal Operations
8,59,10,5,114,Medium Concern,Maintain Normal Operations
9,59,10,5,118,Medium Concern,Maintain Normal Operations
10,57,10,5,100,Medium Concern,Maintain Normal Operations
11,58,10,5,114,Medium Concern,Maintain Normal Operations
12,62,10,5,114,Medium Concern,Maintain Normal Operations
13,63,10,5,114,Medium Concern,Maintain Normal Operations
14,62,10,5,118,Medium Concern,Maintain Normal Operations
15,61,10,5,124,Medium Concern,Maintain Normal Operations
16,61,10,5,124,Medium Concern,Maintain Normal Operations
17,61,10,5,134,High Concern,Decrease Hunter Restrictions
18,61,10,5,146,High Concern,Decrease Hunter Restrictions
19,60,10,5,156,High Concern,Decrease Hunter Restrictions
20,61,10,5,136,High Concern,Decrease Hunter Restrictions
21,62,10,5,142,High Concern,Decrease Hunter Restrictions
22,61,10,5,146,High Concern,Decrease Hunter Restrictions
23,61,10,5,152,High Concern,Decrease Hunter Restrictions
24,60,10,5,162,High Concern,Decrease Hunter Restrictions
25,60,10,5,178,High Concern,Decrease Hunter Restrictions
26,61,10,5,186,High Concern,Decrease Hunter Restrictions
27,63,10,5,196,High Concern,Decrease Hunter Restrictions
28,64,10,5,210,High Concern,Decrease Hunter Restrictions
29,66,10,5,218,High Concern,Decrease Hunter Restrictions
30,68,10,5,200,High Concern,Decrease Hunter Restrictions
31,68,10,5,210,High Concern,Decrease Hunter Restrictions
32,68,10,5,222,High Concern,Decrease Hunter Restrictions
33,68,10,5,226,High Concern,Decrease Hunter Restrictions
34,66,10,5,226,High Concern,Decrease Hunter Restrictions
35,65,9,5,234,High Concern,Decrease Hunter Restrictions
36,63,9,5,246,High Concern,Decrease Hunter Restrictions
37,61,9,5,254,High Concern,Decrease Hunter Restrictions
38,60,9,5,254,High Concern,Decrease Hunter Restrictions
39,58,9,5,268,High Concern,Decrease Hunter Restrictions
40,55,9,5,244,High Concern,Decrease Hunter Restrictions
41,55,8,5,258,High Concern,Decrease Hunter Restrictions
42,54,8,5,258,High Concern,Decrease Hunter Restrictions
43,53,7,5,270,High Concern,Decrease Hunter Restrictions
44,55,7,5,270,High Concern,Decrease Hunter Restrictions
45,56,7,5,276,High Concern,Decrease Hunter Restrictions
46,56,7,5,282,High Concern,Decrease Hunter Restrictions
47,55,7,5,298,High Concern,Decrease Hunter Restrictions
48,55,7,5,302,High Concern,Decrease Hunter Restrictions
49,54,7,5,308,High Concern,Decrease Hunter Restrictions
50,55,7,5,318,High Concern,Decrease Hunter Restrictions
51,55,7,5,328,High Concern,Decrease Hunter Restrictions
52,55,7,5,328,High Concern,Decrease Hunter Restrictions
53,57,7,5,328,High Concern,Decrease Hunter Restrictions
54,57,7,5,340,High Concern,Decrease Hunter Restrictions
55,57,7,5,340,High Concern,Decrease Hunter Restrictions
56,58,7,5,340,High Concern,Decrease Hunter Restrictions
57,57,7,5,344,High Concern,Decrease Hunter Restrictions
58,58,7,5,348,High Concern,Decrease Hunter Restrictions
59,60,7,5,364,High Concern,Decrease Hunter Restrictions
60,59,7,5,374,High Concern,Decrease Hunter Restrictions
61,57,7,5,382,High Concern,Decrease Hunter Restrictions
62,57,7,5,396,High Concern,Decrease Hunter Restrictions
63,57,7,5,402,High Concern,Decrease Hunter Restrictions
64,55,7,5,410,High Concern,Decrease Hunter Restrictions
65,56,7,5,410,High Concern,Decrease Hunter Restrictions
66,56,7,5,418,High Concern,Decrease Hunter Restrictions
67,55,7,5,430,High Concern,Decrease Hunter Restrictions
68,55,7,5,434,High Concern,Decrease Hunter Restrictions
69,55,7,5,438,High Concern,Decrease Hunter Restrictions
70,55,7,5,448,High Concern,Decrease Hunter Restrictions
71,55,7,5,448,High Concern,Decrease Hunter Restrictions
72,52,7,5,462,High Concern,Decrease Hunter Restrictions
73,52,7,5,466,High Concern,Decrease Hunter Restrictions
74,52,7,5,476,High Concern,Decrease Hunter Restrictions
75,51,7,5,476,High Concern,Decrease Hunter Restrictions
76,50,7,5,480,High Concern,Decrease Hunter Restrictions
77,51,7,5,490,High Concern,Decrease Hunter Restrictions
78,51,7,5,490,High Concern,Decrease Hunter Restrictions
79,50,7,5,496,High Concern,Decrease Hunter Restrictions
80,50,7,5,504,High Concern,Decrease Hunter Restrictions
81,51,7,5,508,High Concern,Decrease Hunter Restrictions
82,51,7,5,514,High Concern,Decrease Hunter Restrictions
83,51,7,5,524,High Concern,Decrease Hunter Restrictions
84,51,7,5,528,High Concern,Decrease Hunter Restrictions
85,51,7,5,552,High Concern,Decrease Hunter Restrictions
86,50,7,5,558,High Concern,Decrease Hunter Restrictions
87,51,7,5,562,High Concern,Decrease Hunter Restrictions
88,51,7,5,582,High Concern,Decrease Hunter Restrictions
89,53,7,5,588,High Concern,Decrease Hunter Restrictions
90,54,7,5,558,High Concern,Decrease Hunter Restrictions
91,55,7,5,574,High Concern,Decrease Hunter Restrictions
92,55,7,5,574,High Concern,Decrease Hunter Restrictions
93,55,7,5,574,High Concern,Decrease Hunter Restrictions
94,55,7,5,584,High Concern,Decrease Hunter Restrictions
95,56,7,5,592,High Concern,Decrease Hunter Restrictions
96,55,7,5,592,High Concern,Decrease Hunter Restrictions
97,57,7,5,592,High Concern,Decrease Hunter Restrictions
98,58,7,5,592,High Concern,Decrease Hunter Restrictions
99,57,7,5,592,High Concern,Decrease Hunter Restrictions
